unit_code,timestamp,power,emissions
BARCALDN,2026-05-01 02:55:00+10:00,0.0,0.0
BDL01,2026-05-01 02:55:00+10:00,0.0,0.0
BDL02,2026-05-01 02:55:00+10:00,0.0,0.0
BW01,2026-05-01 02:55:00+10:00,502.0218,37.2502
BW02,2026-05-01 02:55:00+10:00,511.9341,38.0567
BW03,2026-05-01 02:55:00+10:00,283.8544,21.2707
BW04,2026-05-01 02:55:00+10:00,512.3735,38.0522
ADPBA1,2026-05-01 03:00:00+10:00,0.004,0.0
ADPBA1G,2026-05-01 03:00:00+10:00,0.004,0.0
ADPPV1,2026-05-01 03:00:00+10:00,0.0,0.0
ANGAST1,2026-05-01 03:00:00+10:00,0.0,0.0
ARWF1,2026-05-01 03:00:00+10:00,97.4,0.0
BARCALDN,2026-05-01 03:00:00+10:00,0.0,0.0
BDL01,2026-05-01 03:00:00+10:00,0.0,0.0
BDL02,2026-05-01 03:00:00+10:00,0.0,0.0
BW01,2026-05-01 03:00:00+10:00,501.0697,37.2774
BW02,2026-05-01 03:00:00+10:00,512.3491,38.065
BW03,2026-05-01 03:00:00+10:00,283.7079,21.092
